City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,port lincoln,-34.7333,135.8667,17.59,70,97,4.01,AU,1675195797
115,axim,4.8699,-2.2405,26.53,80,100,3.33,GH,1675195797
116,mar del plata,-38.0023,-57.5575,26.02,82,7,4.92,AR,1675195613
117,thompson,55.7435,-97.8558,-29.91,63,75,2.57,CA,1675195381
118,souillac,-20.5167,57.5167,25.92,82,96,4.69,MU,1675195830
119,russell,32.3502,-85.1999,20.66,88,100,1.54,US,1675195833
120,quatre cocos,-20.2078,57.7625,25.05,84,88,6.03,MU,1675195840
121,bethel,41.3712,-73.414,3.34,58,40,2.57,US,1675195817
122,pochutla,15.7432,-96.4661,32.12,42,0,4.82,MX,1675195848
123,yellowknife,62.456,-114.3525,-29.71,76,75,4.63,CA,1675195850
124,ambon,-3.6954,128.1814,25.08,88,20,1.54,ID,1675195852
125,szydlowiec,51.2282,20.8611,2.95,97,100,6.01,PL,1675195854
126,cape town,-33.9258,18.4232,21.06,77,7,8.05,ZA,1675195702
127,sangar,63.9242,127.4739,-36.05,95,100,1.43,RU,1675195856
128,muli,2.9167,73.5667,26.56,75,84,4.25,MV,1675195858
129,chuy,-33.6971,-53.4616,26.62,64,33,5.77,UY,1675195859
130,severo-kurilsk,50.6789,156.125,-6.02,62,92,2.37,RU,1675195439
131,mount gambier,-37.8333,140.7667,15.2,88,100,4.37,AU,1675195865
132,urucara,-2.5364,-57.76,25.55,91,99,1.13,BR,1675195867
133,antalaha,-14.9003,50.2788,25.1,88,10,2.38,MG,1675195879
134,manzil salim,35.8567,8.4765,4.91,83,6,2.27,TN,1675195883
135,morondava,-20.2833,44.2833,27.29,84,100,3.35,MG,1675195903
136,mahebourg,-20.4081,57.7,26.16,89,40,3.09,MU,1675195379
137,talnakh,69.4865,88.3972,-16.37,95,100,4.32,RU,1675195908
138,angoram,-4.0625,144.0661,23.5,98,95,1.02,PG,1675195910
139,gonen,40.1049,27.654,4.45,41,100,2.07,TR,1675195910
140,guerrero negro,27.9769,-114.0611,15.76,53,67,4.39,MX,1675195912
141,kaduqli,11.0167,29.7167,26.79,11,97,2.8,SD,1675195912
142,toledo,39.8333,-4.0,5.73,61,0,0.78,ES,1675195665
143,rio pardo de minas,-15.6097,-42.5397,23.5,74,100,2.02,BR,1675195916
144,klaksvik,62.2266,-6.589,4.51,95,100,5.43,FO,1675195683
145,longyearbyen,78.2186,15.6401,-9.09,67,20,7.72,SJ,1675195318
146,katsuura,35.1333,140.3,5.63,67,16,0.67,JP,1675195436
147,skibbereen,51.55,-9.2667,9.5,77,89,6.25,IE,1675195918
148,grindavik,63.8424,-22.4338,-2.74,74,0,5.14,IS,1675195920
149,uppsala,60.0,17.75,-3.31,80,99,1.54,SE,1675195921
